Pedigree,Trial,Yield,CHM,NGRDI,CHM_48,CHM_63,CHM_70,CHM_73,CHM_82,CHM_98,CHM_112,NGRDI_48,NGRDI_63,NGRDI_70,NGRDI_73,NGRDI_82,NGRDI_98,NGRDI_112
NILASQ4G61I10S3/LH123HT,LP17,6.28301,1.940187996,0.069182806,1.21985639,2.30209192,2.207340898,2.221300115,2.08343819,1.9467111,1.743668532,0.127372261,0.116960343,0.091271725,0.072230355,0.034257609,0.034649973,0.024644462
NILASQ4G61I11S2/LH123HT,LP17,6.590672,1.897562422,0.065961075,1.202639426,2.256778571,2.161999991,2.187785509,2.077383005,1.866761233,1.655276778,0.123838887,0.110785559,0.086236993,0.070180338,0.030292177,0.031275697,0.017928501
NILASQ4G61I12S2/LH123HT,LP17,5.99566,1.947860135,0.066277137,1.197001351,2.285295326,2.17840859,2.213368137,2.104812431,2.072219877,1.717450466,0.11724038,0.111238124,0.085730901,0.06933857,0.032634271,0.033669362,0.021959335
NILASQ4G71I01S2/LH123HT,LP17,5.294379,1.96265794,0.064542538,1.283953405,2.315027863,2.250066313,2.269604776,2.129750922,1.934449506,1.725107216,0.120243228,0.108658803,0.081891417,0.067543058,0.029761723,0.030202825,0.019909152
NILASQ4G71I02S2/LH123HT,LP17,6.134473,2.007741967,0.069264613,1.235685709,2.342230504,2.300196371,2.311511157,2.166851052,2.047602597,1.802476384,0.120871676,0.113862552,0.089025483,0.072849657,0.042709262,0.042389285,0.022300853
NILASQ4G71I03S2/LH123HT,LP17,5.839821,1.908797154,0.065035703,1.180253449,2.271586759,2.152769898,2.198768571,2.022054008,1.974951145,1.688635073,0.120357865,0.108385801,0.084601312,0.068152843,0.031211132,0.030872494,0.019350042
NILASQ4G71I04S2/LH123HT,LP17,5.642215,1.83362445,0.063188769,1.14359525,2.219222372,2.142093709,2.144833509,2.004824709,1.769446312,1.501177551,0.117700478,0.108693798,0.083499979,0.06635826,0.024697255,0.025612187,0.017803406
NILASQ4G71I05S2/LH123HT,LP17,5.962522,1.916676053,0.066457435,1.21708578,2.273616613,2.201518371,2.20316595,2.084546917,1.886906275,1.680532851,0.121259768,0.111905654,0.085618254,0.068612969,0.035480976,0.03591371,0.017755452
NILASQ4G71I06S2/LH123HT,LP17,6.662686,2.000397016,0.067913562,1.243864277,2.343069063,2.285020153,2.288450123,2.161099741,2.013124459,1.828133014,0.119524397,0.114437199,0.089814442,0.070282628,0.036545401,0.036428422,0.022378653
NILASQ4G71I07S2/LH123HT,LP17,5.450149,1.856194885,0.065080802,1.159343756,2.230723034,2.155334312,2.156408924,1.991962228,1.844928938,1.547980892,0.117767894,0.111195785,0.085881395,0.068619525,0.031386453,0.03121823,0.015632709
