Pedigree,Range,Row,Rep,Grain Yield (BuA),Grain Yield (t/ha),PlantingDate,Management,Label,Data,Flight,Management,Pedigree,DTA,DTS,PHT,FHT,EHT
NILASQ4G21I04S2/LH123HT,4,291,1,152.18775,9.548394252,3/3/2017,OI,48_OI,1.055,48,OI,NILASQ4G21I04S2/LH123HT,68,69,101,77,52
NILASQ4G21I05S2/LH123HT,4,285,1,187.3467002,11.75429794,3/3/2017,OI,48_OI,1.08248,48,OI,NILASQ4G21I05S2/LH123HT,69,69,106,84,53
NILASQ4G21I06S2/LH123HT,4,297,1,186.7429646,11.71641903,3/3/2017,OI,48_OI,1.018,48,OI,NILASQ4G21I06S2/LH123HT,68,69,101,80,50
NILASQ4G21I07S2/LH123HT,4,287,1,195.9729285,12.29551514,3/3/2017,OI,48_OI,1.06754,48,OI,NILASQ4G21I07S2/LH123HT,67,68,97,77,47
NILASQ4G21I08S2/LH123HT,4,283,1,196.4202779,12.32358223,3/3/2017,OI,48_OI,1.06142,48,OI,NILASQ4G21I08S2/LH123HT,68,69,99,80,40
NILASQ4G21I09S2/LH123HT,4,289,1,199.984849,12.54722658,3/3/2017,OI,48_OI,1.089,48,OI,NILASQ4G21I09S2/LH123HT,67,69,97,78,44
NILASQ4G21I10S2/LH123HT,4,275,1,162.4153269,10.19008148,3/3/2017,OI,48_OI,1.05,48,OI,NILASQ4G21I10S2/LH123HT,70,69,100,80,50
NILASQ4G21I11S2/LH123HT,4,293,1,178.1515695,11.17738729,3/3/2017,OI,48_OI,1.11897,48,OI,NILASQ4G21I11S2/LH123HT,67,69,101,79,46
NILASQ4G21I12S2/LH123HT,4,301,1,177.7605814,11.15285635,3/3/2017,OI,48_OI,1.037059,48,OI,NILASQ4G21I12S2/LH123HT,67,70,97,81,48
NILASQ4G31I01S2/LH123HT,3,281,1,183.9277885,11.53979238,3/3/2017,OI,48_OI,1.077,48,OI,NILASQ4G31I01S2/LH123HT,68,69,96,81,50
NILASQ4G31I02S3/LH123HT,3,275,1,171.4808592,10.75886102,3/3/2017,OI,48_OI,1.01558,48,OI,NILASQ4G31I02S3/LH123HT,69,70,98,81,52
NILASQ4G31I03S2/LH123HT,3,263,1,179.3823395,11.25460689,3/3/2017,OI,48_OI,0.98,48,OI,NILASQ4G31I03S2/LH123HT,69,69,96,81,42
NILASQ4G31I04S2/LH123HT,3,273,1,175.8311846,11.03180428,3/3/2017,OI,48_OI,0.95399,48,OI,NILASQ4G31I04S2/LH123HT,70,70,98,80,48
NILASQ4G31I05S3/LH123HT,3,269,1,173.9380359,10.91302645,3/3/2017,OI,48_OI,1.002,48,OI,NILASQ4G31I05S3/LH123HT,70,70,95,80,47
NILASQ4G31I06S2/LH123HT,3,259,1,167.9349715,10.53638888,3/3/2017,OI,48_OI,0.994,48,OI,NILASQ4G31I06S2/LH123HT,68,69,100,75,46
NILASQ4G31I07S3/LH123HT,3,265,1,175.9641759,11.04014828,3/3/2017,OI,48_OI,0.93812,48,OI,NILASQ4G31I07S3/LH123HT,68,69,95,79,47
NILASQ4G31I08S2/LH123HT,3,261,1,174.1517391,10.92643439,3/3/2017,OI,48_OI,0.998,48,OI,NILASQ4G31I08S2/LH123HT,69,69,94,80,49
NILASQ4G31I09S2/LH123HT,3,271,1,182.3288549,11.43947388,3/3/2017,OI,48_OI,0.967018,48,OI,NILASQ4G31I09S2/LH123HT,67,69,95,82,46
NILASQ4G31I11S3/LH123HT,3,255,1,172.8175438,10.84272579,3/3/2017,OI,48_OI,0.944,48,OI,NILASQ4G31I11S3/LH123HT,68,69,98,75,44
NILASQ4G31I12S2/LH123HT,3,267,1,184.2232408,11.55832932,3/3/2017,OI,48_OI,0.95415,48,OI,NILASQ4G31I12S2/LH123HT,68,69,93,84,44
NILASQ4G41I01S2/LH123HT,5,287,1,184.040963,11.54689305,3/3/2017,OI,48_OI,1.097973,48,OI,NILASQ4G41I01S2/LH123HT,68,69,102,77,48
NILASQ4G41I02S3/LH123HT,5,267,1,186.7502098,11.71687359,3/3/2017,OI,48_OI,0.89,48,OI,NILASQ4G41I02S3/LH123HT,69,69,98,76,47
NILASQ4G41I03S2/LH123HT,5,283,1,163.0410351,10.22933898,3/3/2017,OI,48_OI,1.057,48,OI,NILASQ4G41I03S2/LH123HT,67,69,96,76,43
NILASQ4G41I04S3/LH123HT,5,273,1,189.1270004,11.86599555,3/3/2017,OI,48_OI,0.97884,48,OI,NILASQ4G41I04S3/LH123HT,68,69,96,76,50
NILASQ4G41I05S3/LH123HT,5,279,1,198.936505,12.48145255,3/3/2017,OI,48_OI,1.0749,48,OI,NILASQ4G41I05S3/LH123HT,68,69,108,78,52
NILASQ4G41I06S3/LH123HT,5,277,1,173.8315509,10.90634549,3/3/2017,OI,48_OI,0.985,48,OI,NILASQ4G41I06S3/LH123HT,68,69,97,83,49
NILASQ4G41I07S2/LH123HT,5,269,1,192.6120523,12.08465079,3/3/2017,OI,48_OI,0.97456,48,OI,NILASQ4G41I07S2/LH123HT,67,69,97,77,43
NILASQ4G41I08S2/LH123HT,5,271,1,179.9275433,11.28881345,3/3/2017,OI,48_OI,1.007,48,OI,NILASQ4G41I08S2/LH123HT,68,69,97,76,49
NILASQ4G41I09S2/LH123HT,5,265,1,183.455281,11.51014684,3/3/2017,OI,48_OI,0.95217,48,OI,NILASQ4G41I09S2/LH123HT,70,69,98,81,51
NILASQ4G41I10S2/LH123HT,5,275,1,180.962597,11.35375364,3/3/2017,OI,48_OI,1.041,48,OI,NILASQ4G41I10S2/LH123HT,68,69,103,79,46
NILASQ4G41I11S2/LH123HT,5,263,1,168.8479684,10.59367111,3/3/2017,OI,48_OI,1.004,48,OI,NILASQ4G41I11S2/LH123HT,70,67,97,78,46
NILASQ4G41I12S3/LH123HT,5,289,1,186.5991129,11.70739364,3/3/2017,OI,48_OI,1.08807,48,OI,NILASQ4G41I12S3/LH123HT,67,69,102,80,46
NILASQ4G51I01S2/LH123HT,4,265,1,182.7675145,11.46699577,3/3/2017,OI,48_OI,0.92,48,OI,NILASQ4G51I01S2/LH123HT,69,70,96,75,46
NILASQ4G51I02S3/LH123HT,4,273,1,166.7429388,10.46159969,3/3/2017,OI,48_OI,0.912,48,OI,NILASQ4G51I02S3/LH123HT,71,70,103,82,50
NILASQ4G51I03S2/LH123HT,4,267,1,177.4249027,11.13179557,3/3/2017,OI,48_OI,0.984,48,OI,NILASQ4G51I03S2/LH123HT,67,69,95,76,47
NILASQ4G51I04S3/LH123HT,4,269,1,162.2243444,10.17809908,3/3/2017,OI,48_OI,0.95753,48,OI,NILASQ4G51I04S3/LH123HT,67,69,102,79,47
NILASQ4G51I05S3/LH123HT,4,259,1,158.6308518,9.952640168,3/3/2017,OI,48_OI,0.90248,48,OI,NILASQ4G51I05S3/LH123HT,71,70,98,76,52
NILASQ4G51I06S2/LH123HT,4,255,1,171.6701674,10.77073838,3/3/2017,OI,48_OI,0.942856,48,OI,NILASQ4G51I06S2/LH123HT,70,69,94,74,43
NILASQ4G51I07S3/LH123HT,5,255,1,162.7580878,10.21158661,3/3/2017,OI,48_OI,0.971,48,OI,NILASQ4G51I07S3/LH123HT,70,69,96,73,43
NILASQ4G51I08S3/LH123HT,5,257,1,160.9055728,10.09535818,3/3/2017,OI,48_OI,0.995,48,OI,NILASQ4G51I08S3/LH123HT,71,68,97,79,54
NILASQ4G51I09S3/LH123HT,4,263,1,157.6937785,9.893847354,3/3/2017,OI,48_OI,0.993,48,OI,NILASQ4G51I09S3/LH123HT,67,69,96,73,44
NILASQ4G51I10S2/LH123HT,5,261,1,185.6710774,11.64916788,3/3/2017,OI,48_OI,0.964,48,OI,NILASQ4G51I10S2/LH123HT,70,67,100,77,47
NILASQ4G51I11S2/LH123HT,5,259,1,178.8701613,11.22247237,3/3/2017,OI,48_OI,1.02,48,OI,NILASQ4G51I11S2/LH123HT,71,70,98,79,44
NILASQ4G51I12S2/LH123HT,4,271,1,184.1715615,11.55508692,3/3/2017,OI,48_OI,0.962,48,OI,NILASQ4G51I12S2/LH123HT,67,69,97,76,49
NILASQ4G61I01S2/LH123HT,5,291,1,167.9615076,10.53805377,3/3/2017,OI,48_OI,1.03568,48,OI,NILASQ4G61I01S2/LH123HT,67,68,98,77,48
NILASQ4G61I02S3/LH123HT,5,297,1,182.963579,11.47929702,3/3/2017,OI,48_OI,0.985,48,OI,NILASQ4G61I02S3/LH123HT,68,69,97,78,49
NILASQ4G61I03S3/LH123HT,5,293,1,187.1661707,11.74297135,3/3/2017,OI,48_OI,0.98199,48,OI,NILASQ4G61I03S3/LH123HT,71,69,102,81,51
NILASQ4G61I04S3/LH123HT,5,309,1,183.6712586,11.52369747,3/3/2017,OI,48_OI,0.94374,48,OI,NILASQ4G61I04S3/LH123HT,68,69,95,76,43
NILASQ4G61I05S3/LH123HT,5,313,1,182.6049276,11.45679492,3/3/2017,OI,48_OI,0.899,48,OI,NILASQ4G61I05S3/LH123HT,68,69,93,75,47
NILASQ4G61I06S3/LH123HT,5,299,1,174.6245726,10.95610038,3/3/2017,OI,48_OI,0.953977,48,OI,NILASQ4G61I06S3/LH123HT,68,69,97,83,47
NILASQ4G61I07S3/LH123HT,5,315,1,170.9440415,10.7251806,3/3/2017,OI,48_OI,0.87656,48,OI,NILASQ4G61I07S3/LH123HT,70,70,103,79,45
NILASQ4G61I08S2/LH123HT,5,305,1,186.9318061,11.72826711,3/3/2017,OI,48_OI,0.90568,48,OI,NILASQ4G61I08S2/LH123HT,71,69,100,76,51
NILASQ4G61I09S2/LH123HT,5,301,1,178.8382766,11.2204719,3/3/2017,OI,48_OI,0.971,48,OI,NILASQ4G61I09S2/LH123HT,69,69,102,82,47
NILASQ4G61I10S3/LH123HT,5,303,1,177.7358826,11.15130672,3/3/2017,OI,48_OI,0.971,48,OI,NILASQ4G61I10S3/LH123HT,68,70,101,75,50
NILASQ4G61I11S2/LH123HT,5,311,1,199.9992134,12.54812782,3/3/2017,OI,48_OI,0.95666,48,OI,NILASQ4G61I11S2/LH123HT,68,69,103,70,49
NILASQ4G61I12S2/LH123HT,5,317,1,170.3615598,10.68863518,3/3/2017,OI,48_OI,0.86835,48,OI,NILASQ4G61I12S2/LH123HT,68,69,96,78,46
