Pedigree,Trial,Yield,CHM,NGRDI,CHM_39,CHM_63,CHM_75,CHM_88,CHM_96,NGRDI_39,NGRDI_63,NGRDI_75,NGRDI_88,NGRDI_96
((LH195RR)/Red Stalker Fill),LP19,6.937781,1.608592925,0.135756724,0.632970398,1.782408203,1.866522227,1.974752121,1.832118702,0.112171604,0.158674324,0.183628486,0.129825791,0.099854427
((LH195RR)/Tx777),LP19,8.263342,1.430111385,0.132318363,0.464222097,1.599426558,1.693529482,1.780312683,1.622493113,0.095092837,0.158066032,0.181270257,0.135606357,0.103655418
((LH195RR2)/(Tx777/Tx775)-B5-39-1-2),LP19,10.380714,1.568832254,0.134655579,0.697404919,1.737473309,1.811399382,1.887005229,1.742811415,0.107638851,0.152789495,0.184620153,0.136942138,0.103445688
((LH195RR2)/(Tx778/Tx151)-B5-26-2-1),LP19,8.55746,1.644635136,0.127929798,0.656020508,1.839571993,1.918773102,1.994106657,1.866383685,0.104080052,0.148379645,0.166622413,0.126848452,0.099866334
((LH195RR2)/(Tx779/Tx780)-B6-05-1-B4),LP19,7.627856,1.537841667,0.131078727,0.604169547,1.72659493,1.77614181,1.89181892,1.717051274,0.108268068,0.145528956,0.170438456,0.135382003,0.107662336
((LH287RR2)/(LH195//Tx773)-B3-17-2-1-B6),LP19,3.836448,1.367611307,0.134944429,0.438213223,1.54486881,1.607333711,1.716397172,1.520432936,0.094179394,0.163810397,0.194590391,0.137591811,0.106663644
((LH287RR2)/(LH195//Tx773)-B3-26-1-1-B12),LP19,4.554607,1.388232744,0.133644077,0.505931269,1.555458598,1.606242783,1.711068512,1.55675841,0.093654973,0.155950335,0.186804269,0.142334716,0.115626524
((LH287RR2)/(LH195//Tx773)-B3-26-1-3-B8),LP19,4.343076,1.330224589,0.129567428,0.440617866,1.49978399,1.565105859,1.633175168,1.493589568,0.09456686,0.1524857,0.185475098,0.130028648,0.093685897
((LH310RR2)/Tx777),LP19,7.133528,1.55864584,0.136178428,0.544238759,1.753758915,1.854900257,1.907480226,1.770089709,0.098509231,0.149802225,0.194068206,0.138413581,0.098869946
((TR8145RR2)/Tx777),LP19,6.102821,1.622457407,0.137915966,0.645354296,1.785519105,1.88573769,1.985450776,1.860196323,0.104457652,0.16194598,0.191536425,0.142789284,0.108516329
((Tx150)/Tx777),LP19,7.224142,1.560399402,0.135580287,0.563892104,1.70284853,1.85775651,1.912825236,1.79352331,0.100538324,0.161893013,0.179001243,0.133747389,0.11056003
((Tx1706)/Tx777),LP19,7.010422,1.580449286,0.132146628,0.633305201,1.759445498,1.851561012,1.919799454,1.772926711,0.101730208,0.153357299,0.184052791,0.140074945,0.103286648
((Tx1709)/Tx777),LP19,7.092453,1.668392925,0.134982121,0.663352892,1.853594991,1.974708503,2.013878108,1.891188949,0.110894038,0.156047562,0.185173305,0.131625194,0.104873876
((Tx779 ; CS16-BULK-BISO)/Tx789 ; CS15-INC-077-B24),LP19,7.227609,1.647415089,0.132902044,0.705853708,1.845547121,1.91565616,1.975823719,1.846588371,0.107486801,0.155101734,0.175057691,0.129317995,0.108972127
((Tx781 ; CS14-INC-125-B19)/LH210 ; CS15-EOTH-56-B12),LP19,6.480027,1.502437936,0.13871632,0.559170853,1.704544825,1.725849737,1.844716682,1.699729797,0.11099558,0.164582819,0.189481601,0.144599474,0.112086572
((Tx781 ; CS14-INC-125-B19)/Tx777 ; CS16-INC-085-B12),LP19,6.772417,1.459844021,0.140456514,0.581647971,1.642488145,1.671971482,1.792811266,1.620703459,0.110725121,0.161756136,0.197461591,0.139779275,0.113831584
((Tx781)/Tx777),LP19,8.079617,1.479915799,0.139378823,0.54614349,1.652059281,1.729832713,1.813295144,1.675613455,0.111268253,0.16042087,0.189733892,0.139379028,0.114119588
((TX784)/Tx777),LP19,6.972075,1.533022056,0.131783408,0.564434221,1.734496542,1.809205535,1.859277015,1.720998065,0.106979339,0.158632407,0.177833307,0.128536248,0.092860344
((Tx788)/Tx777),LP19,4.521243,1.420672586,0.131339961,0.481428251,1.597496314,1.689711568,1.738332046,1.596280872,0.088470677,0.157743624,0.18870449,0.138134506,0.10029643
((Tx789)/Tx777),LP19,7.394273,1.58590732,0.134966642,0.642829506,1.781902784,1.842485005,1.933908621,1.765073614,0.108763774,0.160157064,0.190977318,0.139687001,0.100588914
((Tx790 ; CS16-INC-108-B15)/Tx779 ; CS16-INC-089-B13),LP19,7.700629,1.557538145,0.126019061,0.615127528,1.771369442,1.824912277,1.880047278,1.728421451,0.09952637,0.140664113,0.165623383,0.120205472,0.09313624
((Tx790)/Tx777),LP19,7.955087,1.679490523,0.13083848,0.663562369,1.908781585,1.958660465,2.039126752,1.886006165,0.11034178,0.146665974,0.178344037,0.127293845,0.101297258
((Tx793)/Tx777),LP19,7.129883,1.504089268,0.1392767,0.559037153,1.672510921,1.756845181,1.832356204,1.719725839,0.10675398,0.161543176,0.190235123,0.141208904,0.11130325
((Tx794)/Tx777),LP19,7.227028,1.619035688,0.138275751,0.59482977,1.824804189,1.919193522,1.97147853,1.832785167,0.096759959,0.157118655,0.215713626,0.141370569,0.108583639
(CML450-B/Tx110)-B-3-B-1-B-B-1-1-B18-B18/LH195 (ex-pvp),LP19,7.755744,1.576102783,0.139222924,0.575419358,1.752871618,1.844867382,1.93159751,1.812192079,0.118210242,0.153711081,0.187407869,0.135760816,0.126871588
BH8721VT2P (2019),LP19,9.064122,1.591438558,0.139836791,0.67866682,1.788477509,1.842080186,1.906719044,1.779969639,0.108820595,0.163773075,0.190164987,0.14950995,0.117386531
BH8737VT2P (2019),LP19,9.120279,1.369262563,0.139258161,0.481383848,1.564022555,1.618807264,1.678811856,1.496624153,0.103142763,0.163034782,0.206037218,0.135868648,0.100667019
BH8900VIP3111 (2019),LP19,9.318908,1.706851555,0.137389133,0.71396979,1.900271229,1.98715966,2.090027705,1.908794282,0.108260154,0.166703363,0.18952035,0.136295274,0.109032809
BMP2-B107,LP19,6.620155,1.496061228,0.134280548,0.568183534,1.686672642,1.72321492,1.836287,1.685832644,0.109805491,0.161765467,0.178430877,0.131794309,0.094930006
DKC62-08 (2017),LP19,9.120147,1.469336486,0.144729965,0.594747162,1.644087611,1.677020955,1.794530235,1.647841768,0.110417871,0.171127152,0.200799862,0.157320291,0.110909377
